SetID,CardType,CardName
VIV 17,bPokemon,Skiddo  
VIV 18,ePokemon,Gogoat  
VIV 19,bPokemon,Dhelmise  
VIV 20,bPokemon,Orbeetle V 
VIV 21,ePokemon,Orbeetle VMAX 
VIV 22,bPokemon,Zarude V 
VIV 23,bPokemon,Charmander  
VIV 24,ePokemon,Charmeleon  
VIV 25,ePokemon,Charizard  
VIV 26,ePokemon,Flareon  
VIV 27,bPokemon,Slugma  
VIV 28,ePokemon,Magcargo  
VIV 29,bPokemon,Talonflame V 
VIV 30,ePokemon,Vaporeon  
VIV 31,bPokemon,Wailmer  
VIV 32,ePokemon,Wailord  
VIV 33,bPokemon,Oshawott  
VIV 34,ePokemon,Dewott  
VIV 35,ePokemon,Samurott  
VIV 36,bPokemon,Galarian Darmanitan V
VIV 37,ePokemon,Galarian Darmanitan VMAX
VIV 38,bPokemon,Chewtle  
VIV 39,ePokemon,Drednaw  
VIV 40,bPokemon,Cramorant  
VIV 41,bPokemon,Arrokuda  
VIV 42,ePokemon,Barraskewda  
VIV 43,bPokemon,Pikachu V 
VIV 44,ePokemon,Pikachu VMAX 
VIV 45,bPokemon,Voltorb  
VIV 46,ePokemon,Electrode  
VIV 47,ePokemon,Jolteon  
VIV 48,bPokemon,Zapdos  
VIV 49,bPokemon,Ampharos V 
VIV 50,bPokemon,Raikou  
VIV 51,bPokemon,Electrike  
VIV 52,ePokemon,Manectric  
VIV 53,bPokemon,Blitzle  
VIV 54,ePokemon,Zebstrika  
VIV 55,bPokemon,Joltik  
VIV 56,ePokemon,Galvantula  
VIV 57,bPokemon,Tynamo  
VIV 58,ePokemon,Eelektrik  
VIV 59,ePokemon,Eelektross  
VIV 60,bPokemon,Zekrom  
VIV 61,bPokemon,Zeraora  
VIV 62,bPokemon,Pincurchin  
VIV 63,bPokemon,Clefairy  
VIV 64,ePokemon,Clefable  
VIV 65,bPokemon,Girafarig  
VIV 66,bPokemon,Shedinja  
VIV 67,bPokemon,Shuppet  
VIV 68,ePokemon,Banette  
VIV 69,bPokemon,Duskull  
VIV 70,ePokemon,Dusclops  
VIV 71,ePokemon,Dusknoir  
VIV 72,bPokemon,Chimecho  
VIV 73,bPokemon,Woobat  
VIV 74,ePokemon,Swoobat  
VIV 75,bPokemon,Cottonee  
VIV 76,ePokemon,Whimsicott  
VIV 77,bPokemon,Dedenne  
VIV 78,bPokemon,Xerneas  
VIV 79,bPokemon,Diancie  
VIV 80,bPokemon,Milcery  
VIV 81,ePokemon,Alcremie  
VIV 82,bPokemon,Zacian  
VIV 83,bPokemon,Wooper  
VIV 84,ePokemon,Quagsire  
